tx	padj	cluster	direction	prot	product	ko	Uniprot_ID	Human_ortholog	Ortholog_names	7	8	9	10	11	12
XM_005088786.2	0.660015584423252	NA	NA	XP_005088843.1	tetratricopeptide repeat protein 19, mitochondrial-like	K18169	Q6DKK2	TTC19	Tetratricopeptide repeat protein 19, mitochondrial (TPR repeat protein 19)	3.90466414798519	3.85794797524973	3.80826767327865	4.00607802928006	3.86384674305092	3.78579381891233
XM_005088787.2	0.721322173856906	NA	NA	XP_005088844.2	coiled-coil domain-containing protein 15-like	K16752	Q0P6D6	CCDC15	Coiled-coil domain-containing protein 15	1.99491773776815	1.99287869036572	1.97955817118981	1.99601185228174	1.94091463183886	2.13768001516095
XM_005088788.2	0.125347363798414	NA	NA	XP_005088845.1	ubiquitin-related modifier 1-like	K12161	Q9BTM9	URM1 C9orf74	Ubiquitin-related modifier 1	4.1923534302432	4.18152420834553	4.25416776776578	3.87281960603811	3.75257378550552	3.72615924278997
XM_005088789.2	0.000594321406680053	NA	NA	XP_005088846.1	pre-mRNA-splicing factor 38B-like	K12850	Q5VTL8	PRPF38B	Pre-mRNA-splicing factor 38B (Sarcoma antigen NY-SAR-27)	4.57636889774463	4.579029818761	4.46813680443656	4.7622112356046	4.89027387516415	4.90489724604009
XM_013085605.1	0.644279046720915	NA	NA	XP_012941059.1	uncharacterized protein LOC106012495		Q9WJR5	ERVK-19	Endogenous retrovirus group K member 19 Pol protein (HERV-K(C19) Pol protein) (HERV-K_19q11 provirus ancestral Pol protein) [Includes: Reverse transcriptase (RT) (EC 2.7.7.49), Ribonuclease H (RNase H) (EC 3.1.26.4), Integrase (IN)]	1.90081169718165	1.80227773607815	1.81620145690752	1.51409553751333	1.62312759513051	1.62202591600945
XM_005088796.2	0.00853306693147627	B2	UP	XP_005088853.1	interferon regulatory factor 7-like		H3BQH6	IRF8	Interferon regulatory factor 8 (Fragment)	4.51970960627239	3.97985542174205	4.13494466744552	6.72789718778391	6.13200536603542	6.93532186551525
XM_005088797.2	0.458616924888137	NA	NA	XP_005088854.1	prostaglandin E synthase 2-like	K05309	Q9H7Z7	PTGES2 C9orf15 PGES2	Prostaglandin E synthase 2 (Membrane-associated prostaglandin E synthase-2) (mPGE synthase-2) (Microsomal prostaglandin E synthase 2) (mPGES-2) (Prostaglandin-H(2) E-isomerase) (EC 5.3.99.3) [Cleaved into: Prostaglandin E synthase 2 truncated form]	3.81323392804895	3.82173837075272	3.57927611331105	3.79457784635243	3.64312761972651	3.56816620032734
XM_005088798.2	0.813064788201175	NA	NA	XP_005088855.2	ankyrin repeat domain-containing protein 45-like		Q5TZF3	ANKRD45	Ankyrin repeat domain-containing protein 45	1.70909694522687	1.5260652369996	1.64411676748634	1.78440694751003	1.44507021200208	1.72618031184957
XM_005088802.2	0.955843135682041	NA	NA	XP_005088859.1	kelch-like protein 20	K10457	Q9Y2M5	KLHL20 KLEIP KLHLX	Kelch-like protein 20 (Kelch-like ECT2-interacting protein) (Kelch-like protein X)	5.12455472188279	5.14211504626479	5.03519559189145	5.09135096163054	4.97208300631101	5.07322618961786
XM_005088805.2	0.660215894205386	NA	NA	XP_005088862.1	HRAS-like suppressor 2	K16817	P53816	PLA2G16 HRASLS3 HREV107	HRAS-like suppressor 3 (HRSL3) (EC 3.1.1.32) (EC 3.1.1.4) (Adipose-specific phospholipase A2) (AdPLA) (Group XVI phospholipase A1/A2) (H-rev 107 protein homolog) (H-REV107) (HREV107-1) (HRAS-like suppressor 1) (HREV107-3) (Renal carcinoma antigen NY-REN-65)	2.86280214402891	3.2105900818225	3.34488321030376	2.65509959932409	2.90981792296113	3.06424476612799
XM_005088804.2	0.980961768454263	NA	NA	XP_005088861.1	HRAS-like suppressor 2	K16817	P53816	PLA2G16 HRASLS3 HREV107	HRAS-like suppressor 3 (HRSL3) (EC 3.1.1.32) (EC 3.1.1.4) (Adipose-specific phospholipase A2) (AdPLA) (Group XVI phospholipase A1/A2) (H-rev 107 protein homolog) (H-REV107) (HREV107-1) (HRAS-like suppressor 1) (HREV107-3) (Renal carcinoma antigen NY-REN-65)	3.76026961914754	3.01513021337191	3.47835457737175	4.51889278642918	3.91669959638766	4.6103754872084
XM_005088807.2	0.0217596429964626	NA	NA	XP_005088864.2	probable peptidyl-tRNA hydrolase	K01056	Q86Y79	PTRH1 C9orf115	Probable peptidyl-tRNA hydrolase (PTH) (EC 3.1.1.29)	4.59682215928995	4.55107694616555	4.39165402765975	5.25801223931784	4.71077906425093	5.16461302383907
XM_005088910.2	0.975385316495094	NA	NA	XP_005088967.1	uncharacterized protein C9orf117 homolog		Q5JU67	CFAP157 C9orf117	Cilia- and flagella-associated protein 157	1.13238288776909	1.1211496931391	1.18491879920975	1.21954486105644	1.15208792717214	1.10331704900747
XM_005088808.2	0.048465851935022	NA	NA	XP_005088865.1	rab9 effector protein with kelch motifs-like	K20285	Q7Z6M1	RABEPK RAB9P40	Rab9 effector protein with kelch motifs (40 kDa Rab9 effector protein) (p40)	2.5771735463574	2.40931133280114	2.3514526634978	2.32051655058174	2.41138161371442	1.85351297364432
XM_005088812.2	0.790276998356214	NA	NA	XP_005088869.1	uncharacterized protein LOC101855452		Q86UD0	SAPCD2 C9orf140	Suppressor APC domain-containing protein 2 (Tumor specificity and mitosis phase-dependent expression protein) (TS/MDEP) (p42.3)	2.30484989485322	2.40502237162766	2.43732827931133	2.14876218578073	2.36720255102759	2.4200206542076
XM_005088912.2	0.502592809345152	NA	NA	XP_005088969.1	serine/threonine-protein kinase Nek7-like	K20876	Q8TDX7	NEK7	Serine/threonine-protein kinase Nek7 (EC 2.7.11.1) (Never in mitosis A-related kinase 7) (NimA-related protein kinase 7)	1.97306866734192	2.13806325433435	2.05374079894059	1.76374577377726	1.94938601676736	2.08407665799602
XM_013079980.1	0.158218375078831	NA	NA	XP_012935434.1	ATP-binding cassette sub-family A member 2-like	K05642	A0A087WXK5	ABCA2	ATP-binding cassette sub-family A member 2	2.27769862192807	2.21421028507445	2.21072676673449	2.15489656118022	2.49741454680023	2.66048157778022
XM_013080036.1	0.237805776318236	NA	NA	XP_012935490.1	kynurenine--oxoglutarate transaminase 3-like	K00816	Q6YP21	KYAT3 CCBL2 KAT3	Kynurenine--oxoglutarate transaminase 3 (EC 2.6.1.7) (Cysteine-S-conjugate beta-lyase 2) (EC 4.4.1.13) (Kynurenine aminotransferase 3) (Kynurenine aminotransferase III) (KATIII) (Kynurenine--glyoxylate transaminase) (EC 2.6.1.63) (Kynurenine--oxoglutarate transaminase III)	3.28364093466397	3.16051768535933	2.97025817485276	3.09230097127372	3.06561966529389	2.90605941157922
XM_013086846.1	0.0193671243164671	NA	NA	XP_012942300.1	transforming growth factor beta receptor type 3-like	K05843	Q03167	TGFBR3	Transforming growth factor beta receptor type 3 (TGF-beta receptor type 3) (TGFR-3) (Betaglycan) (Transforming growth factor beta receptor III) (TGF-beta receptor type III)	1.65161133526784	1.64456383074266	1.70185374907548	1.42268784077981	1.71717886031	2.00249277614459
XM_013085752.1	0.386001697129823	NA	NA	XP_012941206.1	uncharacterized protein LOC101857841	K15322	Q8NCE0	TSEN2 SEN2	tRNA-splicing endonuclease subunit Sen2 (EC 4.6.1.16) (tRNA-intron endonuclease Sen2) (HsSen2)	2.19315046437415	2.27136620442035	2.27009020859376	2.13965110734364	2.05231884163286	1.9755943701256
XM_005088814.1	0.771461353274331	NA	NA	XP_005088871.1	cytochrome b-c1 complex subunit 7-like	K00417	P14927	UQCRB UQBP	Cytochrome b-c1 complex subunit 7 (Complex III subunit 7) (Complex III subunit VII) (QP-C) (Ubiquinol-cytochrome c reductase complex 14 kDa protein)	9.04613253761045	9.12740629470397	9.05668488805574	8.9534668971032	8.8595370848073	8.93675210516771
XM_013080181.1	0.0654681025535965	NA	NA	XP_012935635.1	solute carrier organic anion transporter family member 4C1-like		Q9H2Y9	SLCO5A1 OATP5A1 SLC21A15	Solute carrier organic anion transporter family member 5A1 (Organic anion transporter polypeptide-related protein 4) (OATP-RP4) (OATPRP4) (Solute carrier family 21 member 15)	1.21337489248259	1.06809170598337	1.15647135516354	1.46901658459959	1.47667855971915	1.63425301939315
XM_005088821.2	0.332893697047711	NA	NA	XP_005088878.1	puromycin-sensitive aminopeptidase-like isoform X2	K08776	P55786	NPEPPS PSA	Puromycin-sensitive aminopeptidase (PSA) (EC 3.4.11.14) (Cytosol alanyl aminopeptidase) (AAP-S)	2.50668193722498	3.04532121467536	2.65333181264191	3.3715061204789	3.13643219268748	2.9331537899768
XM_013080594.1	0.208764654675224	NA	NA	XP_012936048.1	puromycin-sensitive aminopeptidase-like isoform X2	K08776	P55786	NPEPPS PSA	Puromycin-sensitive aminopeptidase (PSA) (EC 3.4.11.14) (Cytosol alanyl aminopeptidase) (AAP-S)	4.84878214405682	4.81126914876641	4.38485249761105	5.19057210810359	4.92694446642855	4.91603917790878
XM_005088824.2	0.00829639765317612	NA	NA	XP_005088881.1	uncharacterized protein LOC101857754		O75382	TRIM3 BERP RNF22 RNF97	Tripartite motif-containing protein 3 (Brain-expressed RING finger protein) (RING finger protein 22) (RING finger protein 97)	4.23776512936198	4.34336005321206	4.44857128835372	4.07157116291722	3.9943228427786	3.91043135882966
XM_005088826.2	0.360283926029923	NA	NA	XP_005088883.1	tripartite motif-containing protein 59-like isoform X2	K11997	Q9C040	TRIM2 KIAA0517 RNF86	Tripartite motif-containing protein 2 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRIM2) (RING finger protein 86) (RING-type E3 ubiquitin transferase TRIM2)	2.21091856308534	2.02691917134617	2.37170367300961	1.71934964726838	1.92862078156634	1.84573678919935
XM_005088825.2	0.99999861640293	NA	NA	XP_005088882.1	tripartite motif-containing protein 59-like isoform X1	K11997	Q9C040	TRIM2 KIAA0517 RNF86	Tripartite motif-containing protein 2 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRIM2) (RING finger protein 86) (RING-type E3 ubiquitin transferase TRIM2)	2.40988445280595	2.55304603043125	2.23721611695048	2.53882450207915	2.43693273873131	2.50872925243078
XM_005088828.2	0.62969976661802	NA	NA	XP_005088885.1	RNA polymerase II elongation factor ELL-like	K15183	O00472	ELL2	RNA polymerase II elongation factor ELL2	1.73283904892425	1.73250206190865	1.81890852702895	1.61226857164864	1.87980961224276	1.80296349174252
XM_005088829.2	0.00264041561193999	B3	DOWN	XP_005088886.1	uncharacterized protein LOC101858747		Q05823	RNASEL RNS4	2-5A-dependent ribonuclease (2-5A-dependent RNase) (EC 3.1.26.-) (Ribonuclease 4) (Ribonuclease L) (RNase L)	4.48799986252486	4.80812878915988	4.78078273611348	3.40914314801601	4.3587781277235	3.96659909515693
XM_005088830.2	0.966783792738683	NA	NA	XP_005088887.1	uncharacterized protein LOC101858747		Q05823	RNASEL RNS4	2-5A-dependent ribonuclease (2-5A-dependent RNase) (EC 3.1.26.-) (Ribonuclease 4) (Ribonuclease L) (RNase L)	2.3692167079901	1.56738316671939	1.65266917335904	3.56082411699702	2.09560865603556	1.87394383554179
XM_005088832.2	0.954784194522103	NA	NA	XP_005088889.1	small nuclear ribonucleoprotein E	K11097	P62304	SNRPE	Small nuclear ribonucleoprotein E (snRNP-E) (Sm protein E) (Sm-E) (SmE)	6.48856978206355	6.52620223460356	6.51865129835466	6.65576773315095	6.58338244804173	6.58646396216456
XM_005088923.2	0.701356552882792	NA	NA	XP_005088980.2	cyclic AMP-responsive element-binding protein 3-like protein 1	K09048	Q96BA8	CREB3L1 OASIS PSEC0238	Cyclic AMP-responsive element-binding protein 3-like protein 1 (cAMP-responsive element-binding protein 3-like protein 1) (Old astrocyte specifically-induced substance) (OASIS) [Cleaved into: Processed cyclic AMP-responsive element-binding protein 3-like protein 1]	3.48282406437531	3.52422674593876	3.64841568511679	3.38095736282462	3.61901271241716	3.50560725678706
XM_005088834.2	0.253190437986922	NA	NA	NA	NA	NA	NA	NA	NA	7.52460900220427	8.07093332725512	7.89758244835179	6.91061373357501	7.45990958465591	7.76556840123017
XM_005088837.2	0.354220268657479	NA	NA	XP_005088894.1	uncharacterized protein LOC101860211		P40305	IFI27	Interferon alpha-inducible protein 27, mitochondrial (p27) (Interferon alpha-induced 11.5 kDa protein) (Interferon-stimulated gene 12a protein) (ISG12(a)) (ISG12A)	3.37959940939104	4.05904545888363	3.56648890410292	4.0037534234174	4.39609981476504	4.44519416078386
XM_005088836.2	0.834841351814879	NA	NA	XP_005088893.1	uncharacterized protein LOC101860211		P40305	IFI27	Interferon alpha-inducible protein 27, mitochondrial (p27) (Interferon alpha-induced 11.5 kDa protein) (Interferon-stimulated gene 12a protein) (ISG12(a)) (ISG12A)	4.34156111242553	4.51956540222799	4.23281739334699	4.20357755118541	4.54917305680269	4.44710325363502
XM_013081419.1	0.0533670657914735	NA	NA	XP_012936873.1	uncharacterized protein LOC101860211		P40305	IFI27	Interferon alpha-inducible protein 27, mitochondrial (p27) (Interferon alpha-induced 11.5 kDa protein) (Interferon-stimulated gene 12a protein) (ISG12(a)) (ISG12A)	3.57523963506532	4.12208950219388	3.72529256433766	2.82842327886357	2.9403477392795	3.37456870702565
XM_005088838.2	0.0272368150006122	NA	NA	XP_005088895.2	apolipoprotein D-like	K03098	P05090	APOD	Apolipoprotein D (Apo-D) (ApoD)	5.69039341640679	5.93975655603621	5.48982026284116	5.12276881056464	4.97977955668997	5.24632061609669
XM_013081624.1	0.677513422005655	NA	NA	NA	NA	NA	NA	NA	NA	0.833927895465947	0.563353339301759	0.796391083296379	1.01578892489359	0.93643304901476	1.04627147477809
XM_005088840.2	0.644385843593025	NA	NA	XP_005088897.1	sorting nexin-12-like	K17918	Q9UMY4	SNX12	Sorting nexin-12	6.97879003367578	6.9612490350637	6.8170829705113	6.99817601271951	6.85452164846561	6.835516312398
XM_005088843.2	0.489815355292478	NA	NA	XP_005088900.1	coiled-coil domain-containing protein 28A-like		Q9BUN5	CCDC28B	Coiled-coil domain-containing protein 28B	2.46821653662192	2.60380028096258	2.63656209143316	2.68348122167228	2.83747263255063	2.44053148713109
XM_005088846.2	0.114365279984091	NA	NA	XP_005088903.1	60S ribosomal protein L24	K02896	P83731	RPL24	60S ribosomal protein L24 (60S ribosomal protein L30) (Large ribosomal subunit protein eL24)	11.6895885540708	11.6437365611548	11.3659286918963	11.6412470245468	11.6330683773221	11.7597703974815
XM_013082125.1	0.0440784317111522	NA	NA	NA	NA	NA	NA	NA	NA	2.02736116435243	2.15794109962867	2.23398312895697	1.73578923139502	1.89520113146479	2.16864525183727
XM_013082193.1	0.164327526128378	NA	NA	XP_012937647.1	loss of heterozygosity 12 chromosomal region 1 protein homolog	K20819	Q969J3	BORCS5 LOH12CR1	BLOC-1-related complex subunit 5 (Loss of heterozygosity 12 chromosomal region 1) (Myristoylated lysosomal protein) (Myrlysin)	2.26052061490948	2.87486225087234	2.78758341420448	2.43930086760947	2.67783307629114	2.19655304287473
XM_005088849.2	0.388604686434875	NA	NA	XP_005088906.1	loss of heterozygosity 12 chromosomal region 1 protein homolog	K20819	Q969J3	BORCS5 LOH12CR1	BLOC-1-related complex subunit 5 (Loss of heterozygosity 12 chromosomal region 1) (Myristoylated lysosomal protein) (Myrlysin)	2.74517154147212	2.67188930975613	2.93091241471205	2.49269376172403	2.13895343070441	2.32914225912034
XM_005088851.2	0.00853260362352879	NA	NA	XP_005088908.1	metaxin-1-like	K17776	Q13505	MTX1 MTX MTXN	Metaxin-1 (Mitochondrial outer membrane import complex protein 1)	4.64172654658607	4.71865768899158	4.7645499547607	4.95763467307184	4.95592727807521	5.09680685275012
XM_005088861.1	7.96093035343925e-09	B1	UP	XP_005088918.1	globin-like		Q8WWM9	CYGB STAP	Cytoglobin (Histoglobin) (HGb) (Stellate cell activation-associated protein)	4.42941126796858	4.19599310951949	5.22919922137737	6.103820655054	6.54063856856419	8.46094445773334
XM_005088865.2	0.430881006311053	NA	NA	XP_005088922.1	globin		Q8WWM9	CYGB STAP	Cytoglobin (Histoglobin) (HGb) (Stellate cell activation-associated protein)	10.4707860556755	10.8566081972311	11.1842375943194	10.6286988987101	10.9347979229717	11.229701287723
NM_001204557.1	0.42103903966999	NA	NA	NP_001191486.1	non-alpha nicotinic acetylcholine receptor subunit precursor	K05312	A0A0X1KG79	CHRNA2	Neuronal acetylcholine receptor subunit alpha-2	1.79035692600137	1.96176938655122	1.89465171274344	1.27342658176967	1.38151684208414	1.51307238495856
NM_001280809.1	0.287495528447461	NA	NA	NP_001267738.1	acetylcholine receptor subunit beta-like 1-like	K05312	A0A0X1KG79	CHRNA2	Neuronal acetylcholine receptor subunit alpha-2	1.73552956919487	2.08415686332072	2.04433630026784	0.950426886519301	1.51556575283181	1.67359707388761
XM_013080948.1	0.582769691863829	NA	NA	XP_012936402.1	acetylcholine receptor subunit alpha-like 2-like isoform X1	K05312	P32297	CHRNA3 NACHRA3	Neuronal acetylcholine receptor subunit alpha-3	0.991612882520932	0.510189716272327	0.623509062163187	0.482082423692609	0.658034306597826	0.682145060553349
XM_005088870.2	0.999745604230723	NA	NA	XP_005088927.1	cilia- and flagella-associated protein 69-like isoform X2		A5D8W1	CFAP69 C7orf63	Cilia- and flagella-associated protein 69	3.3925573269756	3.49358186212707	3.51612210299276	3.02851353990933	3.23830389913503	3.26274553079308
XM_005088872.2	0.0908338819589532	NA	NA	XP_005088929.1	cyclin-dependent kinase 13-like	K08819	J3QSD7	CDK12	Cyclin-dependent kinase 12 (Fragment)	3.12154030349657	3.01062997848249	2.85716268495333	3.16057242687408	3.07649590275215	3.22456286361194
XM_005088875.2	0.920082713041796	NA	NA	XP_005088932.1	ras-related protein Ral-A-like isoform X1	K07834	P11233	RALA RAL	Ras-related protein Ral-A	4.59679020546011	4.32190901381234	4.54240698926912	4.23698117931067	4.01877657313886	4.37983790403681
XM_013083474.1	0.83995039734854	NA	NA	XP_012938928.1	ras-related protein Ral-A-like isoform X3	K07834	P11233	RALA RAL	Ras-related protein Ral-A	5.11891323960422	5.14218233747502	3.48014194941277	4.35337694907425	4.8859258484996	4.11120919028236
XM_005088877.2	0.51053846788857	NA	NA	XP_005088934.1	ras-related protein Ral-A-like isoform X4	K07834	P11233	RALA RAL	Ras-related protein Ral-A	2.16809709812605	2.48249882935924	1.57356047435018	2.70301477447727	2.54397209971259	3.91045613128771
XM_013083673.1	0.354532731988701	NA	NA	XP_012939127.1	cell division cycle protein 23 homolog	K03355	Q9UJX2	CDC23 ANAPC8	Cell division cycle protein 23 homolog (Anaphase-promoting complex subunit 8) (APC8) (Cyclosome subunit 8)	2.83056578634423	2.6812025500862	2.8298766905822	2.83341577382086	2.94694497718709	3.02022683016683
XM_005088882.2	0.457113802260741	NA	NA	XP_005088939.1	WD repeat-containing protein 54-like		Q9H977	WDR54	WD repeat-containing protein 54	2.68486396277938	2.99497427523135	3.01354169261929	2.68821707555449	2.7928764162056	2.71117205090436
XM_005088883.2	0.937550523494961	NA	NA	XP_005088940.1	probable serine/threonine-protein kinase nek3	K09353	P52954	LBX1 LBX1H	Transcription factor LBX1 (Ladybird homeobox protein homolog 1)	1.0927273265817	1.22642250730953	1.04691447822521	1.22502959820838	1.1382147341407	1.19574214410404
XM_005088884.2	0.0143548838442787	NA	NA	XP_005088941.2	uncharacterized protein KIAA0825-like		Q8IV33	KIAA0825 C5orf36	Uncharacterized protein KIAA0825	2.53824624541785	2.5879549094927	2.58581003110239	2.38870300471992	2.56434512374196	2.12264007309468
NM_001280843.1	0.956199072899892	NA	NA	NP_001267772.1	acetylcholine receptor subunit alpha-type acr-16-like precursor	K05312	P36544	CHRNA7 NACHRA7	Neuronal acetylcholine receptor subunit alpha-7	4.43976395613389	4.64127802257023	4.29482467319954	4.33125688019893	4.51199068953864	4.4743930747327
XM_005088887.2	0.660215894205386	NA	NA	NA	NA	NA	NA	NA	NA	5.11394725832993	5.07373860793455	5.04579549608498	5.29639769121943	5.15982377260166	5.04503108296414
XM_013086454.1	0.170315247240718	NA	NA	XP_012941908.1	polypeptide N-acetylgalactosaminyltransferase 5-like	K00710	S4R3S5	GALNT6	Polypeptide N-acetylgalactosaminyltransferase 6	3.43964070272584	3.59831649574103	3.5233491379	3.08289690091693	3.05171129481273	3.00782319825228
XM_013084103.1	0.265008170357509	NA	NA	XP_012939557.1	uncharacterized protein LOC101864570	K04987	P98161	PKD1	Polycystin-1 (PC1) (Autosomal dominant polycystic kidney disease 1 protein)	3.45772203541392	3.82841231775608	3.66204511859164	3.3750584146585	3.78281561649888	3.48663191303637
XM_005088889.2	0.5247172197947	NA	NA	XP_005088946.2	polycystic kidney disease protein 1-like 1	K04987	Q8TDX9	PKD1L1 UNQ5785/PRO19563	Polycystic kidney disease protein 1-like 1 (PC1-like 1 protein) (Polycystin-1L1)	6.38768915985322	6.52955639186854	6.28971370353587	6.53878397572865	6.56888370513797	6.52810463824993
XM_013084241.1	0.00419017231645539	NA	NA	XP_012939695.1	xaa-Pro aminopeptidase 1-like	K01262	Q9NQW7	XPNPEP1 XPNPEPL XPNPEPL1	Xaa-Pro aminopeptidase 1 (EC 3.4.11.9) (Aminoacylproline aminopeptidase) (Cytosolic aminopeptidase P) (Soluble aminopeptidase P) (sAmp) (X-Pro aminopeptidase 1) (X-prolyl aminopeptidase 1, soluble)	3.57321830904818	3.57235056253239	3.1799471660766	3.77579910899884	3.55102512391234	3.70768966044481
XM_013084166.1	0.831608371067233	NA	NA	XP_012939620.1	xaa-Pro aminopeptidase 1-like	K01262	Q9NQW7	XPNPEP1 XPNPEPL XPNPEPL1	Xaa-Pro aminopeptidase 1 (EC 3.4.11.9) (Aminoacylproline aminopeptidase) (Cytosolic aminopeptidase P) (Soluble aminopeptidase P) (sAmp) (X-Pro aminopeptidase 1) (X-prolyl aminopeptidase 1, soluble)	3.15332549275837	3.02318866290061	2.9035337904031	3.1906086212696	3.05973292496402	2.88399838197092
XM_005088891.2	0.99670715894866	NA	NA	XP_005088948.1	bifunctional coenzyme A synthase-like isoform X1	K02318	Q13057	COASY PSEC0106	Bifunctional coenzyme A synthase (CoA synthase) (NBP) (POV-2) [Includes: Phosphopantetheine adenylyltransferase (EC 2.7.7.3) (Dephospho-CoA pyrophosphorylase) (Pantetheine-phosphate adenylyltransferase) (PPAT), Dephospho-CoA kinase (DPCK) (EC 2.7.1.24) (Dephosphocoenzyme A kinase) (DPCOAK)]	2.00048106247009	1.83046141868215	1.84372781736012	2.10083759806497	1.80176786399613	2.39791842335526
XR_220042.2	0.0265287424633493	NA	NA	NA	NA	NA	NA	NA	NA	2.96478815303428	3.00809800408073	3.15383746464081	2.18802443113871	2.0546720816218	1.84931162018628
XM_013084720.1	0.688277359083733	NA	NA	XP_012940174.1	exportin-7-like isoform X1	K18460	Q9UIA9	XPO7 KIAA0745 RANBP16	Exportin-7 (Exp7) (Ran-binding protein 16)	3.30033855724228	2.0413243506701	3.07495894648934	3.44896438218897	2.95003281580427	2.57809446036041
XM_013084753.1	0.98038871641846	NA	NA	XP_012940207.1	exportin-7-like isoform X2	K18460	Q9UIA9	XPO7 KIAA0745 RANBP16	Exportin-7 (Exp7) (Ran-binding protein 16)	1.07233781558298	2.09873323803792	1.08194690222552	1.19753116249178	1.24467542266193	2.34456179427711
XM_013084858.1	0.250592233460713	NA	NA	NA	NA	NA	NA	NA	NA	2.45421055122248	2.40153571933778	2.22843378957049	2.19018735786038	2.17966225440646	2.58808010640129
XM_005088899.1	0.060745082729033	NA	NA	XP_005088956.1	MAM domain-containing glycosylphosphatidylinositol anchor protein 1-like		Q8NFP4	MDGA1 MAMDC3	MAM domain-containing glycosylphosphatidylinositol anchor protein 1 (GPI and MAM protein) (GPIM) (Glycosylphosphatidylinositol-MAM) (MAM domain-containing protein 3)	3.83438485833767	3.76642344773517	3.61198293342143	3.62577400386431	3.34689176582272	3.87956357393786
XM_005088900.2	0.659185049347805	NA	NA	XP_005088957.1	pleckstrin homology domain-containing family A member 1-like		Q5RGS4	PLEKHA1	Pleckstrin homology domain-containing family A member 1	2.28635637035369	2.30124224182135	2.26578352425606	2.03308673245708	2.04105550175067	2.14793227693863
XM_013085062.1	0.611291208862721	NA	NA	XP_012940516.1	transcriptional regulator ATRX-like	K10779	P46100	ATRX RAD54L XH2	Transcriptional regulator ATRX (EC 3.6.4.12) (ATP-dependent helicase ATRX) (X-linked helicase II) (X-linked nuclear protein) (XNP) (Znf-HX)	4.97135540699336	4.95505053191114	4.93794115382327	4.85475409816064	4.70700759246979	4.7160142189558
XM_005088902.2	0.399123923552312	NA	NA	NA	NA	NA	NA	NA	NA	2.89374774491568	3.12807486180678	3.20895564994122	2.86028465491871	2.75164907417475	3.01636190832247
