oyster genome,poly(I:C) priming,Priming poly(I:C)/T0,,,,,,Challenge Poly(I:C)+OsHV-1/10DPP,,,,FSW control,Priming FSW/T0,,,,,,Challenge FSW+OsHV-1/10DPP,,,,annotation and putative function,,,Gene ontology
CGI_10017479,challenge specific,0,7.200844003,0,6.507243596,0,10.00960452,-0.791263772,5.145455032,0,8.288192077,recall opposite,0,6.757522938,0,6.398254901,0.939047164,16.81230726,-1.321854592,5.87323065,-1.126788394,6.926913606,Protocadherin Fat 4,bacteria,signaling,F:calcium ion binding; C:membrane; F:scavenger receptor activity; P:receptor-mediated endocytosis
CGI_10019866,not regulated,0,1.601721199,0,4.7658556,0,2.555532717,0,2.262501243,0,3.391828784,not regulated,0,5.236987582,0,2.05018533,0,3.116676869,0,3.069955829,0,1.83644678,probable dimethyladenosine transferase,virus,other,"C:mitochondrial matrix; P:rRNA methylation; F:rRNA (adenine-N6,N6-)-dimethyltransferase activity"
CGI_10011913,not regulated,0,1405.318175,0,1474.359027,0,1305.628669,0,1039.174404,0,1132.238446,sustained,0,1519.037809,0,1345.003813,-0.78878789,901.5376192,0,909.9223435,0.393658083,1114.980684,tyrosinase tyr-3,other,other,F:monophenol monooxygenase activity; F:metal ion binding; F:methyltransferase activity; P:oxidation-reduction process; P:primary metabolic process; P:organic substance metabolic process; P:methylation
CGI_10019480,not regulated,0,175.4480885,0,152.3985936,0,158.1351859,0,136.8716427,0,145.9068917,priming specific,0.323857015,194.3393496,0.454478238,210.7893212,0,190.0611572,0,161.0806525,0,150.5508345,mitochondrial,other,other,F:transaminase activity; F:aminomethyltransferase activity; P:glycine catabolic process; P:methylation
CGI_10011066,not regulated,0,84.06971887,0,107.9269205,0,103.4824556,0,109.1110584,0,131.343319,recall opposite,-0.709045122,62.76023596,-0.609839881,65.75184016,-0.63559972,71.78594568,0.62593039,107.9432866,0.828525689,121.8968596,Tripartite motif-containing 2,virus,IFN-like pathway and RLR recognition,F:ATP binding; F:zinc ion binding; C:cytoplasm; P:signal transduction; C:membrane; C:integral component of membrane; F:S-adenosylmethionine-dependent methyltransferase activity; C:intracellular; P:methylation
CGI_10011915,not regulated,0,84.82642081,0,101.4468205,0,95.14235088,0,74.6293798,0,92.58311192,sustained,0,102.2519038,0,81.88005846,-0.550162083,63.31010074,0,83.34813333,0,64.49187974,tyrosinase tyr-3,other,other,F:monophenol monooxygenase activity; F:metal ion binding; F:methyltransferase activity; P:oxidation-reduction process; P:primary metabolic process; P:organic substance metabolic process; P:methylation
CGI_10002811,not regulated,0,60.17275495,0,53.04861538,0,74.08316756,0,61.48280316,0,69.934255,not regulated,0,61.43676939,0,57.46621611,0,62.93162814,0,59.17247564,0,55.52511181,nipped-B isoform X1 [Crassostrea gigas],other,other,F:protein C-terminus binding; P:positive regulation of histone deacetylation; P:external genitalia morphogenesis; P:gall bladder development; F:mediator complex binding; P:outflow tract morphogenesis; P:embryonic digestive tract morphogenesis; P:fat cell differentiation; P:positive regulation of transcription from RNA polymerase II promoter; P:uterus morphogenesis; P:positive regulation of multicellular organism growth; P:face morphogenesis; P:regulation of hair cycle; P:negative regulation of transcription from RNA polymerase II promoter; P:sensory perception of sound; C:extracellular exosome; P:cognition; F:chromo shadow domain binding; P:embryonic forelimb morphogenesis; P:stem cell population maintenance; F:histone deacetylase binding; P:maintenance of mitotic sister chromatid cohesion; P:regulation of embryonic development; F:chromatin binding; P:brain development; P:developmental growth; P:cellular response to DNA damage stimulus; C:chromatin; P:positive regulation of ossification; P:embryonic viscerocranium morphogenesis; P:eye morphogenesis; P:cellular response to X-ray; P:ear morphogenesis; F:protein N-terminus binding; P:cellular protein localization; C:SMC loading complex
CGI_10019517,not regulated,0,49.1065223,0,40.42361525,0,51.46273883,0,46.28053517,0,47.47772436,sustained,0,43.7195743,0,42.56239444,-0.480126148,37.25637067,0,38.89954964,0,41.40527627,RNA polymerase-associated CTR9 homolog,other,other,"P:histone modification; C:Cdc73/Paf1 complex; P:regulation of transcription, DNA-templated; P:regulation of histone H3-K4 methylation; F:RNA polymerase II core binding"
CGI_10005508,not regulated,0,2278.994591,0,2031.774075,0,2791.974833,0,1861.445258,0,1683.858728,recall opposite,0,2495.878146,0.491998401,3218.606282,0,2606.173982,0,2045.987718,-0.348004796,1907.168222,carboxymethylenebutenolidase homolog isoform X2 [Aplysia californica],other,other,P:neurotransmitter transport; F:neurotransmitter:sodium symporter activity; P:transmembrane transport; P:metabolic process; C:integral component of membrane; F:hydrolase activity
CGI_10004679,not regulated,0,38.77735395,0,35.76636969,0,33.07185569,0,34.54104481,0,35.64357997,sustained,0.734041315,54.63327223,0.777909758,55.59441872,0.777841598,59.85533541,0,50.2583112,-0.482941748,39.75859443,polypeptide N-acetylgalactosaminyltransferase 2-like,other,other,"F:transferase activity, transferring glycosyl groups; C:integral component of membrane; P:protein glycosylation; C:Golgi membrane; F:carbohydrate binding"
CGI_10017557,not regulated,0,2484.175175,0,2391.240635,0,2718.355412,0,2946.423877,0,2836.407742,recall opposite,0,2645.160299,0,2544.315195,-0.217414625,2376.056718,0,2602.558881,0.307903263,2756.857158,ADP-ribosylation factor 2,virus,other,F:GTP binding; P:vesicle-mediated transport; P:small GTPase mediated signal transduction; P:protein transport; C:Golgi apparatus
CGI_10027917,not regulated,0,1871.900774,0,1728.993343,0,1719.320046,0,1665.034189,0,1715.165495,sustained,0,1800.823609,0.278154265,1990.11815,0.362587839,2294.867886,-0.285334957,1790.323013,0,1989.203457,peroxiredoxin- mitochondrial-like,V/B,other,F:oxidoreductase activity; P:fin regeneration; P:oxidation-reduction process
CGI_10005509,not regulated,0,948.5944969,0,926.4576837,0,970.8709639,0,1199.50538,0,1235.279033,sustained,0,876.1708493,0,1001.671589,0.416919944,1243.241331,0,1274.648794,0,1238.974985,usf-like [Biomphalaria glabrata],virus,other,P:neurotransmitter transport; F:neurotransmitter:sodium symporter activity; P:transmembrane transport; P:metabolic process; C:integral component of membrane; F:hydrolase activity
CGI_10008263,not regulated,0,910.5736234,0,990.2612217,0,841.3222281,0,829.1002973,0,781.287563,sustained,0,957.8459817,0,1070.491119,-0.658019967,634.7704009,0,597.1456322,0.448980225,815.506101,universal stress A,V/B,other,P:response to stress
CGI_10017704,not regulated,0,741.7031796,0,700.5469884,0,767.6698398,0,667.0256123,0,704.844945,priming specific,0,699.6887364,0.185830677,744.3862333,0,628.8374778,0,551.7799441,0,574.3285946,probable aminopeptidase NPEPL1,other,other,C:cytoplasm; P:proteolysis; F:metalloexopeptidase activity; F:aminopeptidase activity; F:manganese ion binding
CGI_10022190,not regulated,0,690.498353,0,593.3122247,0,644.3620968,0,693.5774796,0,637.1796047,sustained,0,650.2352979,0,653.6891711,-0.593404032,470.4230161,0,528.7347358,0.460098034,609.7013349,alpha partial,other,other,F:alpha-amylase activity; P:carbohydrate metabolic process; F:metal ion binding
CGI_10016215,not regulated,0,412.7447617,0,382.6140585,0,557.3378648,0,432.628818,0,529.6270837,recall opposite,0,496.9447545,0,470.2295303,0.507704038,720.3928582,-0.563437131,461.911089,-0.863798532,366.4592856,leucine-rich repeat and fibronectin type III domain-containing 1 [Lingula anatina],V/B,signaling,C:membrane; C:integral component of membrane
CGI_10016295,not regulated,0,574.0434114,0,470.0016384,0,480.7675297,0,526.6944071,0,449.2717702,recall opposite,0,488.809371,0,479.572429,0.273881646,689.8009353,-0.481510205,465.6397444,0,500.2749883,leucine-rich repeats and immunoglobulin-like domains 3,V/B,signaling,0
CGI_10009486,not regulated,0,875.0086404,0,629.3907585,0,454.9134364,0,587.161411,0,548.8693084,challenge specific,0,506.0885919,0,584.8061363,0,684.0674438,0,681.2166059,0.445800857,878.3450079,mantle defensin [Crassostrea gigas],V/B,AMP,P:defense response
CGI_10004054,not regulated,0,388.5705903,0,376.8261087,0,448.9296156,0,440.886979,0,445.6991617,recall opposite,-0.514885611,306.5351656,-0.441884285,319.5984346,-0.774605765,276.112153,0.448312301,362.7896976,0.828091251,461.1695237,regulator of nonsense transcripts 1 isoform X2,other,other,"F:DNA binding; F:ATP binding; F:zinc ion binding; P:nuclear-transcribed mRNA catabolic process, nonsense-mediated decay; C:cytoplasm; F:helicase activity"
CGI_10028054,not regulated,0,445.9444629,0,394.1618816,0,436.4268313,0,456.7144168,0,364.8432331,sustained,0,437.9406945,0,435.966109,-1.011193871,261.8062922,0,314.2047938,0.557577386,365.6900924,leucine-rich repeats and immunoglobulin-like domains 3,V/B,signaling,0
CGI_10019756,not regulated,0,447.7120924,0,421.0035044,0,420.3958613,0,326.5404189,0,380.928373,sustained,0,414.7692948,-0.24287376,368.0113204,-0.426911809,352.4899881,0,333.823474,0,365.9383576,E3 ubiquitin- ligase HECTD1,virus,other,F:ubiquitin-protein transferase activity; F:metal ion binding; F:ligase activity; P:protein ubiquitination
CGI_10002557,not regulated,0,260.2623287,0,174.371679,0,333.6767243,0,330.1981126,0,386.4206557,challenge specific,0,193.7091992,0,207.0421928,0,171.72706,0,317.1606462,0.893521994,325.2991669,calcitonin receptor-like isoform X1 [Crassostrea gigas],other,other,F:G-protein coupled receptor activity; P:G-protein coupled receptor signaling pathway; C:membrane
CGI_10009423,not regulated,0,349.6173362,0,288.9345162,0,329.4268346,0,227.0946276,0,275.7685911,sustained,0,317.1329605,0,283.4084895,-0.400810727,252.3532675,0,257.6268642,0,244.0470336,Pre-mRNA-processing-splicing factor 8,other,other,C:U5 snRNP; F:poly(A) RNA binding; P:spliceosomal tri-snRNP complex assembly; F:second spliceosomal transesterification activity; F:U6 snRNA binding; F:U5 snRNA binding; F:pre-mRNA intronic binding; C:catalytic step 2 spliceosome; P:cellular response to lipopolysaccharide; F:K63-linked polyubiquitin binding; F:U1 snRNA binding; C:integral component of membrane; P:cellular response to tumor necrosis factor; F:U2 snRNA binding
CGI_10027618,not regulated,0,239.488661,0,268.5090968,0,326.8236123,0,282.7257676,0,291.0639411,sustained,0,239.5347187,0,248.5821488,-0.636194741,190.6297639,0,176.4563153,0,202.5125352,Thymidine phosphorylase,virus,other,F:phosphorylase activity; P:pyrimidine nucleobase metabolic process; F:thymidine phosphorylase activity; C:cytosol; F:pyrimidine-nucleoside phosphorylase activity; P:pyrimidine nucleotide metabolic process; P:pyrimidine nucleoside metabolic process
CGI_10011160,not regulated,0,333.1063051,0,308.4837587,0,319.7203874,0,320.6484222,0,330.4007035,sustained,0,385.4315656,0,376.7149578,-0.51333375,262.5841824,0,289.4654625,0.470333553,341.7287562,eukaryotic peptide chain release factor GTP-binding subunit ERF3A-like isoform X2,other,other,F:GTP binding; F:translation release factor activity; F:GTPase activity; P:cytoplasmic translational termination; C:translation release factor complex
CGI_10027347,not regulated,0,280.1988763,0,233.716879,0,260.8249884,0,281.9382268,0,287.8350688,recall opposite,0,276.2231252,0,259.3285682,-0.32455804,217.4496252,0.25575986,248.5785185,0.351110918,259.9975531,coatomer subunit alpha isoform X2,other,other,"C:extracellular space; P:ER to Golgi vesicle-mediated transport; C:extracellular exosome; P:retrograde vesicle-mediated transport, Golgi to ER; F:structural molecule activity; P:intra-Golgi vesicle-mediated transport; P:intracellular protein transport; F:hormone activity; P:pancreatic juice secretion; C:COPI vesicle coat"
CGI_10006511,not regulated,0,251.1097079,0,216.6614804,0,233.6380133,0,252.8623107,0,222.3962602,recall opposite,0,254.100748,0.222891193,260.2681378,-0.363112964,187.7826842,0,211.2747701,0.434099585,238.1673352,histidine--tRNA cytoplasmic isoform X2,other,other,F:histidine-tRNA ligase activity; F:ATP binding; P:histidyl-tRNA aminoacylation; C:cytoplasm
CGI_10001478,not regulated,0,223.0193839,0,193.5460497,0,225.7390288,0,166.4227703,0,186.9472059,sustained,0,213.0582629,0,199.5547465,-0.408897598,184.2743645,0,162.3537892,0,161.686289,long-chain-fatty-acid-- ligase 4 isoform X2,other,other,"F:ligase activity, forming carbon-sulfur bonds; P:regulation of transport; P:positive regulation of cellular process; P:single-multicellular organism process; C:intracellular membrane-bounded organelle; C:membrane; P:lipid metabolic process; C:cytoplasmic part; P:single-organism cellular process"
CGI_10015177,not regulated,0,292.7345215,0,316.3659916,0,216.5071936,0,229.2433378,0,248.331717,not regulated,0,241.9430487,0,286.2940019,0,301.4075492,0,269.211957,0,268.6196411,FMRF-amide neuropeptides-like,other,other,P:neuropeptide signaling pathway
CGI_10023024,not regulated,0,224.67439,0,180.5175033,0,209.9684665,0,240.5785106,0,229.909685,recall opposite,0,206.5155906,0,200.0918156,-0.566076181,153.1826018,0.39690113,193.6437453,0.59473038,217.4412792,Coatomer subunit beta,other,other,"F:protein binding; P:notochord development; P:retrograde vesicle-mediated transport, Golgi to ER; P:somite development; F:structural molecule activity; C:endoplasmic reticulum; P:intra-Golgi vesicle-mediated transport; C:endoplasmic reticulum-Golgi intermediate compartment; P:intracellular protein transport; C:plasma membrane; C:COPI vesicle coat"
CGI_10002922,not regulated,0,179.3488489,0,147.5617574,0,199.9314749,0,176.8035677,0,176.0988625,not regulated,0,178.0052964,0,164.8868434,0,168.8916138,0,155.2283977,0,151.844029,E3 ubiquitin- ligase TRIP12 isoform X2,V/B,other,F:ubiquitin-protein transferase activity; F:zinc ion binding; F:ligase activity; P:protein ubiquitination
CGI_10001332,not regulated,0,135.9597731,0,115.5506669,0,193.9856071,0,110.7971181,0,164.0394341,recall opposite,0,112.8535598,0,168.8533253,1.200304272,369.0238659,-0.895860267,165.297355,-1.686033528,91.79313321,sodium-dependent serotonin transporter [Oryctolagus cuniculus],bacteria,other,P:social behavior; P:dopamine metabolic process; P:transmembrane transport; P:positive regulation of cell cycle; P:brain morphogenesis; P:negative regulation of organ growth; P:gland development; P:response to toxic substance; P:thalamus development; F:serotonin:sodium symporter activity; C:integral component of plasma membrane; P:serotonin uptake; C:presynapse; F:dopamine transmembrane transporter activity; P:cellular response to organic substance; P:positive regulation of gene expression; C:membrane raft; C:cytosol; C:endomembrane system; F:Rab GTPase binding; F:nitric-oxide synthase binding; P:neurological system process
CGI_10008151,not regulated,0,173.0349507,0,161.3924032,0,189.9132619,0,149.0940765,0,216.9344269,recall opposite,0,191.6446775,0,195.3487663,0.38957531,252.2876935,-0.375988535,185.2424255,-0.557119541,159.2911182,ATP-dependent 6-phosphofructokinase-like,other,other,F:ATP binding; C:cytoplasm; F:metal ion binding; P:fructose 6-phosphate metabolic process; P:glycolytic process through fructose-6-phosphate; F:6-phosphofructokinase activity
CGI_10001663,not regulated,0,284.0729192,0,211.4080141,0,188.6921071,0,257.0926565,0,222.2696497,not regulated,0,372.0790536,0,317.7700747,0,272.9769207,0,227.0033563,0,214.8916139,ribosomal S3a [Mus musculus],other,other,C:nucleus; P:positive regulation of translation; F:structural constituent of ribosome; C:cytosolic small ribosomal subunit; P:negative regulation of apoptotic process; P:positive regulation of fibroblast proliferation; P:cell differentiation; F:mRNA binding; F:translation initiation factor binding; F:protein complex binding; P:translation
CGI_10009641,not regulated,0,218.3670569,0,201.771248,0,186.6765628,0,189.6633903,0,191.3673286,recall opposite,0,202.7422959,0,200.9299743,-0.561171057,148.1511255,0.358081465,181.9802178,0.669095429,221.5518473,valine--tRNA ligase-like,other,other,F:valine-tRNA ligase activity; F:ATP binding; P:valyl-tRNA aminoacylation; P:regulation of translational fidelity; C:integral component of membrane; F:aminoacyl-tRNA editing activity; C:cytosol
CGI_10024595,not regulated,0,199.0716112,0,159.224245,0,183.9808266,0,160.5000093,0,179.8950931,sustained,0,189.4892908,0,194.9096261,-0.853963773,105.0143481,0,122.8332111,0,105.9577597,Complement C1q 4,V/B,signaling,C:collagen trimer
CGI_10021960,not regulated,0,185.0211935,0,165.799881,0,159.9568511,0,148.7048164,0,168.6735111,recall opposite,0.240645743,195.6764694,0,187.8751923,0.268469731,214.4757051,0,194.1269317,-0.294035806,163.320822,ras-related Rab-3-like isoform X4 [Crassostrea gigas],virus,signaling,F:GTP binding; P:nucleocytoplasmic transport; P:small GTPase mediated signal transduction; F:GTPase activity; C:membrane; P:metabolic process; P:intracellular protein transport; C:intracellular
CGI_10015203,not regulated,0,152.8200844,0,143.28872,0,158.4184648,0,138.7574998,0,164.6126457,recall opposite,0,176.7046095,0,165.4627927,0.278288138,227.0502463,-0.608188292,141.1587883,-0.761549312,124.6791506,somatomedin-B and thrombospondin type-1 domain-containing -like,V/B,other,P:immune response; F:scavenger receptor activity; P:receptor-mediated endocytosis; F:polysaccharide binding
CGI_10026383,not regulated,0,129.8316964,0,115.5916646,0,155.0891231,0,129.2148463,0,142.5573203,recall opposite,0.222400349,164.0004665,0,157.4807809,0.327951023,190.0941932,-0.545762217,123.3843275,-0.872854644,96.3855981,Phosphatidylinositol 3-kinase regulatory subunit alpha,V/B,other,C:phosphatidylinositol 3-kinase complex; F:phosphatidylinositol 3-kinase regulator activity; F:metal ion binding; P:regulation of phosphatidylinositol 3-kinase activity; P:phosphorylation; F:kinase activity; C:intracellular; P:intracellular signal transduction
CGI_10012491,not regulated,0,185.9029305,0,179.4413264,0,155.0189172,0,189.4001485,0,198.7921464,challenge specific,0,138.5585767,0,141.2743241,0,162.5814927,0,200.3950473,0.672974799,245.0573194,heat shock 70 kDa 12A-like,V/B,other,F:nucleotide binding; F:ATP binding
CGI_10010091,not regulated,0,146.9527004,0,129.8922278,0,154.4742787,0,130.6337649,0,142.378795,sustained,0,138.9532857,-0.319719604,123.791802,-0.38466948,128.8237402,0,133.8397071,0,129.6885155,ankyrin repeat and IBR domain-containing 1-like [Crassostrea gigas],V/B,signaling,F:zinc ion binding; F:ubiquitin conjugating enzyme binding; F:ubiquitin protein ligase activity; C:ubiquitin ligase complex; C:cytoplasm; P:protein polyubiquitination; P:positive regulation of proteasomal ubiquitin-dependent protein catabolic process; P:protein ubiquitination involved in ubiquitin-dependent protein catabolic process
CGI_10008200,not regulated,0,198.7020589,0,142.0909927,0,153.9564312,0,122.5914835,0,165.2476093,sustained,0,161.8815227,0,157.3679216,0.328098864,241.0189437,0,182.162998,0,192.9298218,Flattop homolog [Lingula anatina],other,other,C:primary cilium; C:ciliary basal body; P:cilium organization; C:apical plasma membrane
CGI_10004665,not regulated,0,145.3906231,0,138.1750236,0,151.3439489,0,127.1050467,0,139.0485753,sustained,0,141.767725,0,130.1735575,-0.245613213,125.7867856,0,122.5974182,0,131.1768628,probable ubiquitin carboxyl-terminal hydrolase FAF-X isoform X2,virus,other,P:protein deubiquitination; C:cytoplasm; P:cellular response to growth factor stimulus; P:cellular response to endogenous stimulus; P:transmembrane receptor protein serine/threonine kinase signaling pathway; P:generation of neurons; P:cell migration; F:thiol-dependent ubiquitinyl hydrolase activity; P:ubiquitin-dependent protein catabolic process
CGI_10000905,not regulated,0,176.9090469,0,170.3599466,0,146.0412769,0,170.8648382,0,145.7275432,priming specific,0,166.9271775,0.304469967,196.5018753,0,179.7522017,0,173.1048834,0,199.407742,Elongation factor 1 delta,other,other,F:translation elongation factor activity; P:translational elongation; C:eukaryotic translation elongation factor 1 complex
